submitted_symbol	official_symbol	flybase_id	current_fullname	symbol_synonyms	secondary_flybase_ids	annotation_id	match_type	ambiguous
nonA-l	nonA-l	FBgn0015520	nonA-like	BEST:LD09360|CG10328|LD09360|nonA 1|nonA-1|NonA-like|PSF|Z	FBgn0026581	CG10328	official_symbol	No
rin	rin	FBgn0015778	rasputin	CG9412|cg9412|Nts|rasp|RIN|Rin	FBgn0038164	CG9412	official_symbol	No
Spx	Spx	FBgn0015818	Spliceosomal protein on the X	CG3780|SF3B4|Sf3b4|SPX|spx		CG3780	official_symbol	Yes
spen	spen	FBgn0016977	split ends	136/24|BcDNA:GM01870|CG18497|E(E2F)2A|E(Raf)2A|E(Sev-CycE)2A|EK2-9|En(yan[ACT])2-7|EY2-7|l(2)03350|l(2)k06805|l(2)k07612|l(2)k08102|poc|rno|spe|SPEN|Spen|Splitends|yip1	FBgn0010537,FBgn0016056,FBgn0016624,FBgn0022059,FBgn0022080,FBgn0022115,FBgn0026182,FBgn0031230,FBgn0040065,FBgn0047291	CG18497	official_symbol	No
snRNP-U1-70K	snRNP-U1-70K	FBgn0016978	small ribonucleoprotein particle U1 subunit 70K	70K|CG8749|Dm70K|dU1-70K|l(2)02107|snRNP|snRNP 70K|SnRNP-U1-70K|snRnP-U1-70K|snRNP27D|snRNP70K|snRNPU1-70K|U1|U1 70K|U1 70k|U1 70K snRNP|U1 snRNP|U1-70K|U1-70k|U170K|U1snRNP-70K	FBgn0003458,FBgn0010508	CG8749	official_symbol	No
Nelf-E	Nelf-E	FBgn0017430	Negative elongation factor E	anon-66Da|CG5994|cg5994|dNelf-E|ENelf-E|EY07065|NELF|NELF-E|Nelf-e|Nelf_E|NELFE|NelfE		CG5994	official_symbol	No
U2af38	U2af38	FBgn0017457	U2 small nuclear riboprotein auxiliary factor 38	CG3582|DU2AF38|dU2AF38|dU2AF[38]|l(2)06751|U2AF|U2AF 38|U2AF38|u2af38|Utaf38	FBgn0010626	CG3582	official_symbol	No
eIF4B	eIF4B	FBgn0020660	eukaryotic translation initiation factor 4B	CG10837|Dm-eIF4B|EIF-4B|eIF-4B|eIF-4b|eIF-4B-L|eIF-4B-S|EIF4B|Eif4B|eIF4B|eIf4b|eIF4B-L|eIF4B-S	FBgn0040057	CG10837	official_symbol	No
Cbp20	Cbp20	FBgn0022943	cap binding protein 20	CBP20|cbp20|CG12357		CG12357	official_symbol	No
Srp54	Srp54	FBgn0024285	Splicing regulatory protein 54	anon-EST:Liang-2.16|CG4602|clone 2.16|dSRp54|p75|SRP54|SRp54|srp54	FBgn0025965	CG4602	official_symbol	Yes
Neos	Neos	FBgn0024542	Neosin	BcDNA.HL05936|BcDNA:HL05936|CG8614|l(3)L2249	FBgn0027902	CG8614	official_symbol	No
ssx	ssx	FBgn0024987	sister-of-Sex-lethal	anon-EST:Posey102|CG3056|cg3056|EG:132E8.1|Ssx	FBgn0027771	CG3056	official_symbol	No
TBPH	TBPH	FBgn0025790	TAR DNA-binding protein-43 homolog	CG10327|dmTDP43|dtar|dTBPH|dTDP|dTDP-43|Tbph|tbph|TDP-43|TDP43|TDPH		CG10327	official_symbol	No
fz3	fz3	FBgn0027343	frizzled 3	CG16785|DFz3|Dfz3|dFz3|dfz3|Dm Fz3|EG:34F3.6|Fz3	FBgn0025619	CG16785	official_symbol	No
nito	nito	FBgn0027548	spenito	BcDNA:GH11110|CG2910|cg2910|Dm44A/spenito|DmSSp|dOTT|NITO|Nito|Spenito|SSLP		CG2910	official_symbol	No
CG5808	Ppil4	FBgn0027617	Peptidyl-prolyl cis/trans isomerase-like 4	BcDNA:GH01073|CG5808|cg5808|dPPIL4|dppil4|UKL		CG5808	synonym	No
CstF64	CstF64	FBgn0027841	Cleavage stimulation factor 64 kD subunit	CG7697|CStF 64|CstF 64|CstF-64|CstF64|dCstF64		CG7697	official_symbol	No
cyp33	cyp33	FBgn0028382	cyclophilin-33	CG4886|CYP33|Cyp33|Dcyp33		CG4886	official_symbol	No
CG4119	CG4119	FBgn0028474		BcDNA.LD23634|BcDNA:LD23634|cg4119		CG4119	official_symbol	No
