submitted_symbol	official_symbol	flybase_id	current_fullname	symbol_synonyms	secondary_flybase_ids	annotation_id	match_type	ambiguous
Mrtf	Mrtf	FBgn0052296	Myocardin-related transcription factor	CG12188|CG14951|CG32296|DMRTF|dMRTF|dMrtf|mal|MAL-D|Mal-D|mal-d|MRTF	FBgn0035368,FBgn0035369	CG32296	official_symbol	No
MTF-1	MTF-1	FBgn0040305	Metal response element-binding Transcription Factor-1	anon-WO0118547.411|CG3743|dMTF-1|Mtf-1|mtf-1	FBgn0035991,FBgn0062029	CG3743	official_symbol	No
mTTF	mTTF	FBgn0028530	mitochondrial transcription termination factor	BG:DS01068.4|CG18124|DmTTF|DS01068.4|TTF	FBgn0027850	CG18124	official_symbol	No
Myb	Myb	FBgn0002914	Myb oncogene-like	c-Myb|c-myb|CG9045|D-myb|Dm Myb|Dm myb|Dm-Myb|Dm-myb|DmMYB|DmMyb|dmMYB|DMyb|Dmyb|dMyb|dmyb|l(1)XVI|MYB|myb|p85		CG9045	official_symbol	No
nau	nau	FBgn0002922	nautilus	CG10250|Dmyd|Mdrf|MYOD|MyoD|NAU|Nau		CG10250	official_symbol	No
nej	nej	FBgn0261617	nejire	anon-WO0147981.11|anon-WO03040301.89|CBP|Cbp|cbp|CBP/p300|CBP_|CG15319|CG15321|Crbp|dCBP|dKAT3|dmCBP|l(1)G0112|l(1)G0350|l(1)G0470|Nej|nej CBP|Nejire|nejire|P300|p300|p300/CBP	FBgn0015624,FBgn0030149,FBgn0066809,FBgn0028319,FBgn0027307,FBgn0040152,FBgn0030150	CG15319	official_symbol	No
NFAT	NFAT	FBgn0030505	NFAT nuclear factor	CG11172|dNFAT|EP1335|MESR1|NF-AT5|Nfat|NFAT5	FBgn0043371,FBgn0043579	CG11172	official_symbol	No
Nf-YB	Nf-YB	FBgn0032816	Nuclear factor Y-box B	BcDNA:RH50436|CG10447|dNF-YB|NF-YB|NF-yB	FBgn0062432	CG10447	official_symbol	No
Nf-YC	Nf-YC	FBgn0029905	Nuclear factor Y-box C	CG3075|dNF-YC|NF-YC|Nf-yc|nf-yc|NFYC		CG3075	official_symbol	Yes
NK7.1	NK7.1	FBgn0024321	NK7.1	CG8524|NK-7.1|NK7		CG8524	official_symbol	No
nub	nub	FBgn0085424	nubbin	CG15488|CG15489|CG34395|CG6246|dOct1|dPOU-19|dPOU-19/pdm-1|dPOU19|Nb|nb|NUB|Nub|Nubbin|Oct-1|Oct1|Pdm|pdm|PDM-1|Pdm-1|pdm-1|PDM1|Pdm1|pdm1|Pdm1/nubbin|POU33F1|twn	FBgn0032438,FBgn0002970,FBgn0032440,FBgn0004393	CG34395	official_symbol	No
oc	oc	FBgn0004102	ocelliless	CG12154|l(1)7Ff|l(1)8Ac|OC|Oc|oc2|ocelliless|ort|orthodenticle|Otd|otd|Otx|uvi	FBgn0002979,FBgn0003021	CG12154	official_symbol	No
odd	odd	FBgn0002985	odd skipped	CG3851|l(2)01863|ODD|Odd|ods	FBgn0010502	CG3851	official_symbol	No
OdsH	OdsH	FBgn0026058	Ods-site homeobox	CG6352|Odsh|odsH|odsh|OdsH[mel]		CG6352	official_symbol	No
onecut	onecut	FBgn0028996	onecut	A1|CG1922|Onecut	FBgn0039913	CG1922	official_symbol	No
Optix	Optix	FBgn0025360	Optix	anon-WO0153538.79|CG18455|D-Six3|Dsix3|opt|OPTIX|optix|opx|Six3|six3	FBgn0027365,FBgn0033251,FBgn0045871	CG18455	official_symbol	No
org-1	org-1	FBgn0021767	optomotor-blind-related-gene-1	CG11202|Dm-ORG-1|Org-1|org1	FBgn0024203	CG11202	official_symbol	No
osa	osa	FBgn0261885	osa	anon-WO0118547.314|anon-WO0172774.126|ARID1B|C819|CG7467|E(E2F)3C|eld|en(lz)4F/4H|eyelid|l(3)00090|l(3)04539|l(3)j9C3|OSA|Osa|p300	FBgn0003013,FBgn0010708,FBgn0011421,FBgn0015384,FBgn0046467,FBgn0062101,FBgn0259443	CG7467	official_symbol	No
otp	otp	FBgn0015524	orthopedia	BcDNA:RE58095|bk24|CG10036|CG2965|Otp|W26|w26	FBgn0034559,FBgn0047081	CG10036	official_symbol	No
ovo	ovo	FBgn0003028	ovo	CG15467|CG6824|Fs(1)K1103|Fs(1)K1237|fs(1)K1237|Fs(1)K155|fs(1)M1|fs(1)M38|OVO|Ovo|Ovo-D|ovo/shavenbaby|ovo/svb|ovoB|ovoD|Shv|Svb|svb|Svb/Ovo|svb/ovo	FBgn0000825,FBgn0000849,FBgn0003650,FBgn0029741	CG6824	official_symbol	No
p53	p53	FBgn0039044	p53	CG10873|CG31325|CG33336|D-p53|Dm-P53|DMP53|DmP53|Dmp53|dmP53|dmp53|Dp53|dp53|P53|prac	FBgn0051325,FBgn0053336	CG33336	official_symbol	Yes
pan	pan	FBgn0085432	pangolin	CG17964|CG32005|CG34403|d-TCF|Dm Pan|DTCF|DTcf|dTCF|dTcf|IA5|l(4)102ABb|l(4)13|LEF|Lef|LEF-1|LEF/TCF|LEF/TCF-1|LEF1|Lef1|lef1|LEF1/TCF|PAN|Pan|pan.dTCF|TCF|Tcf|tcf|Tcf-1|TCF/LEF|Tcf/LEF|Tcf/Lef|TCF/LEF1|TCF/Pan	FBgn0022393,FBgn0052005,FBgn0019664	CG34403	official_symbol	Yes
pb	pb	FBgn0051481	proboscipedia	BG:DS01719.1|CG17880|CG31481|Dmpb|l(3)04498|PB|Pb|pd|pr	FBgn0003040,FBgn0010841,FBgn0063631	CG31481	official_symbol	Yes
Pbp49	Pbp49	FBgn0260398	PSEA-binding protein 49kD	CG11508|CG42515|DmPBP|DMPBP49|DmPBP49|DmSNAP50|DmSNAPc|Dromel_CG11508_FBtr0088817_mORF	FBgn0033267,FBgn0022383,FBgn0260389	CG42515	official_symbol	No
pdm2	pdm2	FBgn0004394	POU domain protein 2	CG12287|CG15486|CG15487|dim|dOct2|dPOU-28|dPOU28|dpou28|dPOU28/pdm-2|Miti|miti|Oct-2|Oct2|Pdm|pdm|Pdm-2|pdm-2|Pdm2|POU domain protein 2	FBgn0032441,FBgn0032443	CG12287	official_symbol	No
Pdp1	Pdp1	FBgn0016694	PAR-domain protein 1	anon-WO0140519.206|CG17888|DM1|DM32|gr|mel_pdp1|PAR-domain protein 1|PDP|pdp|Pdp-1|PDP-1epsilon|PDP-1ε|PDP1|pdp1|PDP1 epsilon|Pdp1 epsilon|PDP1 ε|Pdp1 ε|Pdp1&e|Pdp1e|PDP1epsilon|Pdp1epsilon|pdp1epsilon|PDP1ε|Pdp1ε|pdp1ε	FBgn0035820,FBgn0044667	CG17888	official_symbol	No
Pep	Pep	FBgn0004401	Protein on ecdysone puffs	CG6143|p100|PEP|pep|PEP/X4|X4/PEP	FBgn0036743	CG6143	official_symbol	Yes
PHDP	PHDP	FBgn0025334	Putative homeodomain protein	anon-60Ac|CG11182		CG11182	official_symbol	No
pho	pho	FBgn0002521	pleiohomeotic	CG17743|dYY1|l(4)102EFc|l(4)29|l(4)BU-2|l(4)OC-1|l(4)pho|Ph|PHO|Pho|PHO/YY1|YY1	FBgn0005575,FBgn0024914	CG17743	official_symbol	No
phol	phol	FBgn0035997	pleiohomeotic like	CG3445|Pho1|PHOL|Phol		CG3445	official_symbol	No
pnr	pnr	FBgn0003117	pannier	CG3978|CG3978-PA|dGATAa|dGATAa/pannier|GATA|GATA4|GATAa|GATAa/Pannier|l(3)89B3|PNR|Pnr|prn	FBgn0038393	CG3978	official_symbol	Yes
pnt	pnt	FBgn0003118	pointed	0123/09|0608/07|0998/12|3520|CG17077|D-Ets-2|D-ets-2|DMPOINT1A|E(E2F)3D|EC3-2|EK3-2|Ets|Ets1/2|ETS2|Ets2|Ets58AB|Ets94F|ets94F|EY3-1|l(3)07825|l(3)j1B7|l(3)s118306|png|PNT|Pnt|PNT-P1|Pnt-P1|pnt-P1|pnt-P2|pnt.P1|Pnt2|pntegfr|PNTP1|PntP1|PNTP2|PntP2|pntP2|POINT|Pointed|pointed|Pointed-P1|pointed-RC|ptd|Punt|punt	FBgn0004060,FBgn0005657,FBgn0010925,FBgn0011309	CG17077	official_symbol	Yes
Pph13	Pph13	FBgn0023489	PvuII-PstI homology 13	60Mun1|CG2819|hazy|Mu|PPH13|pph13	FBgn0008638	CG2819	official_symbol	No
prd	prd	FBgn0003145	paired	CG6716|paired|pr|PRD|Prd		CG6716	official_symbol	No
pros	pros	FBgn0004595	prospero	0244/09|0320/10|0441/16|0451/09|0563/18|0585/13|0664/07|0671/02|0763/13|0989/01|1135/07|1135/09|1167/13|1316/02|671/2|anon-WO0140519.15|BcDNA:HL08040|CG17228|DMPROSPER|DROPROSA|l(3)10419|l(3)j12C8|l(3)j6E2|l(3)rH013|l(3)rI160|l(3)rJ806|l(3)rK137|l(3)rK204|l(3)rL433|l(3)rO534|Pro|pro|PROS|Pros|PROS-1|PROS-2|Prosp|prosp|Prospero|Voila|voila	FBgn0010941,FBgn0011397,FBgn0011437,FBgn0011497,FBgn0011499,FBgn0011504,FBgn0011507,FBgn0011515,FBgn0011524,FBgn0020281,FBgn0024917,FBgn0026852,FBgn0044730,FBgn0063172	CG17228	official_symbol	No
psq	psq	FBgn0263102	pipsqueak	BTB-V|BtbV|CG2368|eyeful|Lola|pip|Pipsqueak|Piq|psk|PSQ|Psq|psq-1|rum|zep	FBgn0069087,FBgn0004399,FBgn0012047,FBgn0045853	CG2368	official_symbol	No
Ptx1	Ptx1	FBgn0020912	Ptx1	CG1447|D-Ptx1|Ptx|ptx1		CG1447	official_symbol	No
Pur-alpha	Pur-alpha	FBgn0022361	Purine-rich binding protein-alpha	CG1507|dPur alpha|dPur α|Pur alpha|Pur α|Pur-a|Pur-alpha|pur-alpha|pur-α|purA|PURalpha|Puralpha|PURα|Purα		CG1507	official_symbol	No
Rel	Rel	FBgn0014018	Relish	CG11992|ird|ird4|l(3)neo36|NF-kappaB|NF-kappaBeta|NF-kappabeta|NF-KB|NF-κB|NF-κΒ|NF-κβ|NFkappaB|NFκB|REL|rel|Rel-p110|Rel/NF-kappaB|Rel/NF-κB|Rel1|Rel49|RelA|RELI|Relish|relish	FBgn0011469,FBgn0024223	CG11992	official_symbol	No
repo	repo	FBgn0011701	reversed polarity	3702|AbRK2|CG31240|CG8045(CT24072)|CT24072|l(3)03702|REPO|Repo|RK2|rk2	FBgn0010814,FBgn0013744,FBgn0051240	CG31240	official_symbol	No
retn	retn	FBgn0004795	retained	2535|BcDNA:LD35748|CG5403|Dead Ringer/Retain|DRI|Dri|dri|EHMT|EY2-10|l(2)02535|Retn|retn/dri	FBgn0010517,FBgn0014151,FBgn0063144	CG5403	official_symbol	No
Rfx	Rfx	FBgn0020379	Rfx	CG6312|dRFX|dRfx|RFX|rfx		CG6312	official_symbol	No
rn	rn	FBgn0267337	rotund	5.3|CG10040|CG14600|CG14601|CG14603|CG32466|CG32467|CG42277|Dipr|P5.3|Rn|roe|tod|tot	FBgn0259172,FBgn0003263,FBgn0003269,FBgn0037494,FBgn0037495,FBgn0037496,FBgn0037497,FBgn0052466,FBgn0052467,FBgn0260876,FBgn0260875	CG42277	official_symbol	No
ro	ro	FBgn0003267	rough	CG6348|DROROUGH|Ro		CG6348	official_symbol	No
run	run	FBgn0003300	runt	1|2|AA33|CG1849|l(1)19Ea|l(1)AA33|l(1)B2/13.1|l(1)LB9|LB5|leg|lLB5|P235|Rnt|RUN|Run|run, runt|Runt|runt	FBgn0019659,FBgn0019997	CG1849	official_symbol	No
Rx	Rx	FBgn0020617	Retinal Homeobox	bk50|CG10052|DRx|Drx|drx|E97|PPH17|rx|W60|wom	FBgn0000530,FBgn0003998,FBgn0005641	CG10052	official_symbol	Yes
sage	sage	FBgn0037672	salivary gland-expressed bHLH	bHLHc7|CG12952|Sage		CG12952	official_symbol	No
sc	sc	FBgn0004170	scute	AS-C T4|AS-C T4sc|ascT4|bHLHc28|CG3827|DROACS2|EG:198A6.1|Hw|l(1)1Ba|Sc|sc/T4|SC_DA|scalpha|Scute|scute|scute/sisterlessB|scα|sis b|sis-b|sisB|sisb|T4|T4 AS-C	FBgn0003324,FBgn0003412,FBgn0026842	CG3827	official_symbol	Yes
schlank	schlank	FBgn0040918	schlank	CerS|cerS|CG15898|CG3576|DLAG1|DLag1|Dlag1|Iag1|l(1)G0061|l(1)G0365|l(1)G0489|Lag1|lag1|lon|Schlank	FBgn0026692,FBgn0028312,FBgn0029852,FBgn0040141	CG3576	official_symbol	No
Scr	Scr	FBgn0003339	Sex combs reduced	BG:DS07876.2|CG1030|DmScr|l(3)84Af|Msc|SCR|scr	FBgn0002844	CG1030	official_symbol	Yes
scro	scro	FBgn0287186	scarecrow	80Fb|CG17594|CG17595|CG18452|l(3)80Fb|l(3)Lh7|l7|l7B|mdcds_36132|Scro|scrou	FBgn0002291,FBgn0040044,FBgn0040516,FBgn0042215,FBgn0028993	CG17594	official_symbol	No
sd	sd	FBgn0003345	scalloped	anon-EST:Liang-2.14|CG8544|clone 2.14|DROEXO|DROEXO2|EP(X)1088|EP1088|l(1)G0239|l(1)G0262|l(1)G0309|l(1)G0315|l(1)G0483|l(1)HF394|l(1)III|SD|Sd|sp|TEAD	FBgn0025967,FBgn0026840,FBgn0027221,FBgn0027225,FBgn0027247,FBgn0027258,FBgn0040146,FBgn0062702	CG8544	official_symbol	Yes
sens	sens	FBgn0002573	senseless	1228/04|CG10714|CG32120|Gfi1|l(3)70Ad|Ly|Ly-1|Sen|sen|SENS|Sens|sense|Senseless|senseless|Ss	FBgn0011709,FBgn0027151,FBgn0036355,FBgn0052120	CG32120	official_symbol	No
shn	shn	FBgn0003396	schnurri	BEST:SD06302|CG7734|EP(2)2359|EP2359|l(2)04738|quo|Schnurri|schnurri|SD06302|SHN|Shn	FBgn0010584,FBgn0013727,FBgn0043359	CG7734	official_symbol	No
sim	sim	FBgn0004666	single-minded	0483/09|0716/08|0899/14|0953/08|1002/10|1034/02|1050/13|1110/04|1111/10|1330/08|1479/04|bHLHe16|CG7771|l(3)87Ea|l(3)E320|l(3)RD|l(3)S8|l(3)s8|S8|schm|shm|SIM|Sim	FBgn0003333,FBgn0003409	CG7771	official_symbol	No
sima	sima	FBgn0266411	similar	7951|bHLHe56|CG31031|CG45051|CG7951|dHIF-1alpha|dHIF-1α|dHIF-alpha|dHIF-α|DMU43090|hif|HIF alpha|HIF-1|HIF-1a|Hif-1A|HIF-1alpha|HIF-1α|HIF-alpha/sima|HIF-α/sima|HIF1|hif1|HIF1A|HIF1alpha|Hif1alpha|HIF1α|Hif1α|HIFalpha|Hifalpha|HIFα|Hifα|l(3)j11B7|SIMA|Sima	FBgn0015542,FBgn0011432,FBgn0051031	CG45051	official_symbol	Yes
Six4	Six4	FBgn0027364	Six4	CG3871|D-Six4|D-six4|DSix4|Dsix4|six4|six4/5		CG3871	official_symbol	No
slbo	slbo	FBgn0005638	slow border cells	C/EBP|CG4354|DC/EBP|Dm-c/EBP|DM8|DmC/EBP|fs(2)7|fs(2)8|fs(2)ry7|fs(2)ry8|SLBO|Slbo|slobo	FBgn0013451,FBgn0015734,FBgn0016064,FBgn0016065,FBgn0016066	CG4354	official_symbol	No
slou	slou	FBgn0002941	slouch	CG6534|NK-1|NK1|Nk1|NK1/S59|prd9|S-59|S59|s59|S59/NK-1|Slou|slou/NK1	FBgn0004442	CG6534	official_symbol	No
slp1	slp1	FBgn0003430	sloppy paired 1	CG16738|Dmslp1|FD6|FoxG|l(2)05965|sko1|Sloppy-paired|SLP|Slp|slp|slp 1|Slp-1|slp-1|slp-2|SLP1|Slp1	FBgn0010610	CG16738	official_symbol	No
slp2	slp2	FBgn0004567	sloppy paired 2	CG2939|Dmslp2|FD7|FoxG|Sloppy-paired|SLP|Slp|slp|Slp2		CG2939	official_symbol	No
sna	sna	FBgn0003448	snail	BG:DS01845.1|br28|br29|CG3956|l(2)35Db|l(2)br28|l(2)br29|l(3)br28|l35Db|Sco|sn|SNA|Sna|SNAIL|Snail|snail	FBgn0016654	CG3956	official_symbol	No
so	so	FBgn0003460	sine oculis	ami|CG11121|Drl|mda|med|old|Sine oculis|sine oculis|SO|So|soD|somda	FBgn0004392,FBgn0004874	CG11121	official_symbol	No
Sox100B	Sox100B	FBgn0024288	Sox100B	CG12098|CG15552|CG18674|CT6009|dSox9|Sox100|SOX100B|sox100b|Sox9|SoxB|SOXE	FBgn0039814,FBgn0039815,FBgn0040626	CG15552	official_symbol	No
Sox14	Sox14	FBgn0005612	Sox box protein 14	CG17263|CG3090|DSox-14|Dsox-14|DSox14|DSox60B|Sox-14|SOX14|sox14|SOX60B|SOXC	FBgn0034949	CG3090	official_symbol	No
Sox21b	Sox21b	FBgn0042630	Sox21b	CG13483|CG32139|CG6419|Sox B2-2|Sox21B|SOXB2.2|SoxB2.2	FBgn0036412,FBgn0036413,FBgn0043569,FBgn0052139	CG32139	official_symbol	No
SoxN	SoxN	FBgn0029123	SoxNeuro	CG18024|DM64|Sox B1|SOX29F|SOXB1|soxN|SoxNeuro|soxNeuro|Sry-rDM64	FBgn0010277,FBgn0032070	CG18024	official_symbol	No
Sp1	Sp1	FBgn0020378	Sp1	CG1343|D-Sp1|D-Sp8|D.Sp1|dSp1|SP1|sp1		CG1343	official_symbol	Yes
SREBP	SREBP	FBgn0261283	Sterol regulatory element binding protein	CG8522|dSREBP|dSrebp|dsrebp|HLH106|HlH106|l(3)76BDw|SREBF1|SREBP|Srebp|srebp|SREBP1	FBgn0015234,FBgn0063456,FBgn0260652	CG8522	official_symbol	No
srp	srp	FBgn0003507	serpent	A7.1|ABF|Abf|abf|CG3992|dGATAb|DmGATAb|GATA|GATAb|l(3)01549|l(3)89B2|l(3)neo45|spt|SRP|Srp|srpD	FBgn0010376,FBgn0010753,FBgn0011478	CG3992	official_symbol	No
Sry-beta	Sry-beta	FBgn0003511	Serendipity beta	CG7938|ser|sry|sry beta|sry β|sry-b|SrY-beta|Sry-beta|sry-beta|SrY-β|sry-β|sryb|Srybeta|srybeta|Sryβ|sryβ		CG7938	official_symbol	No
Sry-delta	Sry-delta	FBgn0003512	Serendipity delta	anon-EH8|CG17958|EH8|sry|Sry delta|sry delta|Sry δ|sry δ|Sry-delta|sry-delta|sry-δ|Srydelta|srydelta|Sryδ|sryδ	FBgn0014946	CG17958	official_symbol	No
ss	ss	FBgn0003513	spineless	AHR|AhR|CG6993|dAHR|SS|Ss|ssa		CG6993	official_symbol	Yes
Ssb-c31a	Ssb-c31a	FBgn0015299	Single stranded-binding protein c31A	C31A|c31A|CG8396|p11|PC4-like|Ssb-C31a		CG8396	official_symbol	No
